match,market,home_team,away_team,player_name,price
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Finn Allen,5.75
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Aaron Hardie,7
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Keaton Jennings,7
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Beau Webster,8
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Glenn Maxwell,8
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Josh Inglis,8.5
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Joe Clarke,9.75
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Tom Rogers (Stars),9
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Hilton Cartwright,13
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Marcus Stoinis,13
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Sam Harper,13
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Matthew Hurst,17
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Nick Hobson,34
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Sam Fanning,34
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Adam Milne,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Andrew Tye,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Brody Couch,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Hamish McKenzie,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Jason Behrendorff,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Jhye Richardson,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Joel Paris,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Lance Morris,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Mahli Beardman,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Mark Steketee,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Matthew Spoors,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Peter Siddle,101
Perth Scorchers v Melbourne Stars,Top Match Run Scorer,Perth Scorchers,Melbourne Stars,Tom Curran,101
