match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Andrew Tye,Perth Scorchers,Melbourne Stars,3.75,Sportsbet
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Jason Behrendorff,Perth Scorchers,Melbourne Stars,3.6,Sportsbet
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Jhye Richardson,Perth Scorchers,Melbourne Stars,3.75,Sportsbet
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Lance Morris,Perth Scorchers,Melbourne Stars,3.9,Sportsbet
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Mahli Beardman,Perth Scorchers,Melbourne Stars,3.75,Sportsbet
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Ashton Agar,Perth Scorchers,Melbourne Stars,6.75,Sportsbet
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Matthew Spoors,Perth Scorchers,Melbourne Stars,6.75,Sportsbet
Perth Scorchers v Melbourne Stars,Top Team Wicket Taker,Perth Scorchers,Melbourne Stars,Cooper Connolly,Perth Scorchers,Melbourne Stars,8,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Ben Dwarshuis,Sydney Sixers,Melbourne Renegades,4,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Sean Abbott,Sydney Sixers,Melbourne Renegades,4,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Hayden Kerr,Sydney Sixers,Melbourne Renegades,5,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Jack Edwards,Sydney Sixers,Melbourne Renegades,5.5,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Jackson Bird,Sydney Sixers,Melbourne Renegades,5,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Joel Davies,Sydney Sixers,Melbourne Renegades,5,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Todd Murphy,Sydney Sixers,Melbourne Renegades,5,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Ben Manenti,Sydney Sixers,Melbourne Renegades,6.5,Sportsbet
Sydney Sixers v Melbourne Renegades,Top Team Wicket Taker,Sydney Sixers,Melbourne Renegades,Jafer Chohan,Sydney Sixers,Melbourne Renegades,6.5,Sportsbet
Sydney Thunder v Adelaide Strikers,Top Team Wicket Taker,Sydney Thunder,Adelaide Strikers,Lockie Ferguson,Sydney Thunder,Adelaide Strikers,3.75,Sportsbet
Sydney Thunder v Adelaide Strikers,Top Team Wicket Taker,Sydney Thunder,Adelaide Strikers,Daniel Sams,Sydney Thunder,Adelaide Strikers,4,Sportsbet
Sydney Thunder v Adelaide Strikers,Top Team Wicket Taker,Sydney Thunder,Adelaide Strikers,Tanveer Sangha,Sydney Thunder,Adelaide Strikers,4.25,Sportsbet
